time;gFx;gFy;gFz;TgF
0,005000;-0,2871;0,3855;0,8072;0,939
0,005000;-0,2878;0,3855;0,8021;0,935
0,005000;-0,2905;0,3850;0,7948;0,930
0,005000;-0,2929;0,3831;0,7901;0,926
0,005000;-0,2942;0,3828;0,7882;0,924
0,005000;-0,2981;0,3831;0,7847;0,923
0,006000;-0,3015;0,3819;0,7833;0,922
0,006000;-0,3015;0,3819;0,7833;0,922
0,006000;-0,3029;0,3831;0,7850;0,925
0,006000;-0,3037;0,3836;0,7852;0,925
0,006000;-0,3034;0,3838;0,7850;0,925
0,011000;-0,3051;0,3841;0,7879;0,928
0,011000;-0,3059;0,3826;0,7899;0,929
0,013000;-0,3056;0,3819;0,7911;0,930
0,014000;-0,3066;0,3833;0,7960;0,935
0,021000;-0,3054;0,3826;0,7992;0,937
0,021000;-0,3049;0,3821;0,8016;0,939
0,022000;-0,3047;0,3826;0,8092;0,945
0,022000;-0,3020;0,3824;0,8187;0,953
0,024000;-0,3017;0,3821;0,8236;0,957
0,027000;-0,3010;0,3792;0,8336;0,964
0,028000;-0,3005;0,3770;0,8434;0,971
0,031000;-0,3005;0,3760;0,8483;0,975
0,035000;-0,2981;0,3733;0,8568;0,981
0,035000;-0,2983;0,3716;0,8639;0,987
0,036000;-0,2986;0,3701;0,8685;0,990
0,038000;-0,2981;0,3684;0,8751;0,995
0,040000;-0,2998;0,3648;0,8803;0,999
0,042000;-0,2990;0,3645;0,8834;1,001
0,044000;-0,2976;0,3623;0,8888;1,005
0,047000;-0,2961;0,3613;0,8915;1,006
0,048000;-0,2951;0,3618;0,8930;1,008
0,051000;-0,2944;0,3591;0,8988;1,012
0,052000;-0,2937;0,3579;0,9025;1,014
0,054000;-0,2929;0,3574;0,9032;1,015
0,056000;-0,2900;0,3569;0,9081;1,018
0,060000;-0,2922;0,3545;0,9128;1,022
0,060000;-0,2934;0,3545;0,9132;1,023
0,063000;-0,2949;0,3550;0,9137;1,024
0,064000;-0,2934;0,3545;0,9157;1,025
0,068000;-0,2927;0,3547;0,9162;1,025
0,068000;-0,2932;0,3552;0,9179;1,027
0,071000;-0,2934;0,3574;0,9189;1,029
0,072000;-0,2944;0,3589;0,9194;1,030
0,075000;-0,2934;0,3584;0,9179;1,028
0,076000;-0,2939;0,3582;0,9150;1,026
0,078000;-0,2922;0,3582;0,9125;1,023
0,080000;-0,2910;0,3565;0,9096;1,019
0,084000;-0,2871;0,3569;0,9062;1,015
0,084000;-0,2858;0,3569;0,9015;1,011
0,087000;-0,2854;0,3577;0,9005;1,010
0,088000;-0,2836;0,3555;0,8971;1,006
0,091000;-0,2824;0,3550;0,8922;1,001
0,093000;-0,2817;0,3538;0,8915;1,000
0,094000;-0,2780;0,3550;0,8873;0,995
0,096000;-0,2766;0,3547;0,8851;0,993
0,098000;-0,2749;0,3533;0,8842;0,991
0,100000;-0,2727;0,3538;0,8800;0,987
