time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001932,-0.0113,0.0137,-0.0624,0.065
0.006322,0.0029,-0.0157,-0.0263,0.031
0.019044,0.0197,0.0058,0.0240,0.032
0.026679,-0.0141,-0.0062,0.0335,0.037
0.039522,-0.0237,-0.0063,0.0048,0.025
0.046151,-0.0477,-0.0160,0.0025,0.050
0.059740,0.0227,0.0012,-0.0192,0.030
0.065997,0.0321,-0.0035,-0.0288,0.043
0.079003,0.0179,-0.0058,-0.0647,0.067
0.085835,0.0031,-0.0105,-0.0815,0.082
0.099109,0.0320,-0.0009,-0.0432,0.054
0.105612,0.0144,-0.0250,-0.0407,0.050
0.119662,-0.0319,-0.0083,-0.0168,0.037
0.126442,-0.0363,-0.0085,-0.0335,0.050
0.139400,-0.0170,-0.0181,0.0024,0.025
0.146148,-0.0045,0.0038,0.0047,0.008
0.159676,-0.0039,0.0159,-0.0121,0.020
0.167026,0.0131,0.0327,-0.0169,0.039
0.179659,0.0303,-0.0014,-0.0288,0.042
0.186144,0.0132,-0.0258,-0.0071,0.030
0.199606,-0.0015,-0.0211,-0.0406,0.046
0.206325,-0.0229,0.0195,-0.0142,0.033
0.219332,-0.0060,-0.0118,-0.0046,0.014
0.226977,-0.0612,0.0049,0.0313,0.069
0.240297,0.0619,-0.0071,0.0337,0.071
0.246442,0.0043,0.0073,0.0313,0.032
0.259705,-0.0266,-0.0190,-0.0765,0.083
0.265995,-0.0500,0.0196,-0.0574,0.079
0.279204,0.0348,-0.0023,-0.0550,0.065
0.286944,0.0131,0.0097,-0.0191,0.025
0.299848,0.0007,0.0145,-0.0023,0.015
0.306966,-0.0041,0.0352,0.0338,0.049
0.319481,0.0437,0.0462,0.0340,0.072
0.326456,0.0452,0.0209,0.0176,0.053
0.339120,-0.0277,-0.0354,-0.0396,0.060
0.346341,0.0056,-0.0409,-0.0514,0.066
0.359608,0.0051,-0.0839,-0.0251,0.088
0.366252,0.0356,-0.0492,-0.0157,0.063
0.378940,-0.0278,0.0026,0.0103,0.030
0.386007,-0.0348,-0.0203,0.0149,0.043
0.399757,-0.0151,-0.0285,0.0194,0.038
0.405980,-0.0289,0.0161,0.0071,0.034
0.419990,-0.0160,-0.0164,-0.0387,0.045
0.425946,-0.0319,-0.0037,-0.0508,0.060
0.439633,-0.0186,-0.0127,-0.0558,0.060
0.446804,0.0254,0.0068,-0.0295,0.040
0.459562,0.0182,-0.0076,-0.0200,0.028
0.466111,0.0087,-0.0004,-0.0152,0.017
0.479918,0.0281,0.0045,0.0063,0.029
0.486260,0.0353,-0.0123,-0.0032,0.038
0.498857,0.0103,0.0142,-0.0152,0.023
0.505816,-0.0162,0.0022,-0.0391,0.042
0.519347,-0.0166,0.0020,-0.0415,0.045
0.525749,-0.0330,-0.0005,-0.0319,0.046
0.539286,-0.0113,-0.0105,-0.0102,0.019
0.545688,-0.0018,0.0158,0.0041,0.016
0.559529,-0.0109,-0.0109,-0.0054,0.016
0.565707,0.0110,-0.0134,-0.0054,0.018
0.579835,0.0206,-0.0063,-0.0269,0.034
0.586019,0.0159,-0.0110,-0.0317,0.037
0.600163,-0.0131,-0.0109,-0.0437,0.047
0.606231,0.0060,-0.0084,-0.0437,0.045
0.619433,-0.0012,-0.0107,-0.0150,0.018
0.626431,-0.0059,0.0012,-0.0365,0.037
0.640092,-0.0322,-0.0013,-0.0270,0.042
0.646073,-0.0197,0.0106,-0.0222,0.032
0.660282,0.0072,-0.0089,-0.0149,0.019
0.667248,0.0029,-0.0162,-0.0221,0.028
0.679743,0.0220,0.0125,-0.0125,0.028
0.686904,0.0146,-0.0022,-0.0268,0.031
0.699606,0.0118,0.0048,-0.0052,0.014
0.705786,0.0162,0.0214,-0.0052,0.027
0.719970,0.0207,-0.0054,-0.0074,0.023
0.726296,0.0055,-0.0010,-0.0121,0.013
0.739430,0.0122,-0.0155,-0.0121,0.023
0.746419,0.0017,0.0060,-0.0097,0.012
0.759683,0.0107,-0.0108,-0.0479,0.050
0.766336,-0.0210,-0.0109,-0.0383,0.045
0.780164,0.0005,0.0131,-0.0311,0.034
0.785697,0.0006,-0.0036,-0.0359,0.036
0.799843,-0.0113,-0.0085,-0.0431,0.045
0.806142,0.0007,-0.0037,-0.0192,0.020
0.818804,0.0152,0.0106,-0.0000,0.019
0.825903,-0.0040,-0.0326,0.0168,0.037
0.840225,0.0175,-0.0086,-0.0072,0.021
0.848714,0.0056,0.0009,-0.0072,0.009
0.859751,0.0033,-0.0015,-0.0263,0.027
0.866239,-0.0303,-0.0087,-0.0311,0.044
0.880106,0.0032,-0.0016,-0.0191,0.019
0.885915,-0.0041,-0.0184,-0.0239,0.030
0.899427,0.0130,-0.0156,0.0024,0.020
0.906313,0.0105,0.0011,-0.0024,0.011
0.919469,0.0033,-0.0013,-0.0096,0.010
0.925754,0.0058,0.0059,-0.0335,0.035
